Estacion,Region,Latitude,Longitude,Altitude,Mean value,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
La Quiaca Obs.,NOA,-22.1,-65.6,3462,Temperature,12.8,12.5,12.4,10.9,6.9,4.4,4.1,6.7,9.3,11.7,12.8,13.2
La Quiaca Obs.,NOA,-22.1,-65.6,3462,Max Temperature,20.1,19.9,19.9,19.7,17.3,15.6,15.4,17.4,19.2,21.1,21.7,21.3
La Quiaca Obs.,NOA,-22.1,-65.6,3462,Min Temperature,7.4,7,6.3,2.8,-3,-6.2,-6.8,-4.2,-1.1,2.8,5.2,6.9
La Quiaca Obs.,NOA,-22.1,-65.6,3462,Hunidity,65.3,64.1,62.4,48.2,34.6,31.1,30.1,31.7,34.4,45.3,52.3,59.2
La Quiaca Obs.,NOA,-22.1,-65.6,3462,Wind speed,6.9,7.1,6.5,6.4,6,4.9,6.6,6.6,8.6,8.7,8.8,8.3
La Quiaca Obs.,NOA,-22.1,-65.6,3462,Nubosidad total (octavos),5.2,4.8,4.1,2.7,1.8,1.6,1.4,1.6,2,3,3.6,4.5
La Quiaca Obs.,NOA,-22.1,-65.6,3462,Precipitation ,97.5,68.4,55.9,8.2,1,0.5,0,1.4,3.5,16,27.3,71.9
La Quiaca Obs.,NOA,-22.1,-65.6,3462,Precipitation freq,15.9,12.2,9.8,2.4,0.3,0.1,0,0.4,0.9,3.5,7.4,12.7
Oran Aero,NOA,-23.15,-64.33,359,Temperature,25.5,25.1,23.9,20.9,17.7,15,14.7,17.2,20.1,23.8,25,26
Oran Aero,NOA,-23.15,-64.33,359,Max Temperature,32.3,31.1,29.4,26,23.2,21.2,22,25.6,28.3,31.5,32,32.6
Oran Aero,NOA,-23.15,-64.33,359,Min Temperature,21.5,20.8,20.5,17.8,14.2,11,9.2,11,13.5,17.9,19.5,21.2
Oran Aero,NOA,-23.15,-64.33,359,Hunidity,,,83.6,85.3,83.8,82.3,75.4,67.3,59.1,62.5,69.6,74.7
Oran Aero,NOA,-23.15,-64.33,359,Wind speed,8.4,8.4,6.9,6.4,6.2,6.8,7.7,8.2,9.1,9.2,9.6,8.6
Oran Aero,NOA,-23.15,-64.33,359,Nubosidad total (octavos),,,5.7,6,5.6,5.1,4,3.5,3.9,4.6,5,5.3
Oran Aero,NOA,-23.15,-64.33,359,Precipitation ,216.6,183.7,184.2,70.9,19.8,6.3,4.5,5.4,16.3,60,108.1,170.1
Oran Aero,NOA,-23.15,-64.33,359,Precipitation freq,14.3,12.9,15.3,12,6.6,3.9,2.8,2.2,3.2,7.1,10.4,12.9
Tartagal Aero,NOA,-22.52,-63.8,450,Temperature,25.2,24.4,22.9,20.2,17.2,14.9,14.6,17.4,20.2,23.9,24.6,25.3
Tartagal Aero,NOA,-22.52,-63.8,450,Max Temperature,31.7,30.7,29.1,25.5,22.7,21,22.1,25.5,28.2,31.4,31.7,32
Tartagal Aero,NOA,-22.52,-63.8,450,Min Temperature,20.6,20,19.6,17,13.2,10.7,9.1,10.6,13.2,17.5,18.8,20.3
Tartagal Aero,NOA,-22.52,-63.8,450,Hunidity,78.5,,,85,83.5,80.8,71.9,62,55.1,60.1,67.1,74.4
Tartagal Aero,NOA,-22.52,-63.8,450,Wind speed,6.1,5.9,5.2,4.7,4.6,4.6,5.6,6.7,7.3,8.1,8.6,7.1
Tartagal Aero,NOA,-22.52,-63.8,450,Nubosidad total (octavos),,,,,,,,,,,,
Tartagal Aero,NOA,-22.52,-63.8,450,Precipitation ,200.2,182.8,187.7,65.3,22,6.7,3.6,5.1,15.1,45,110,176.4
Tartagal Aero,NOA,-22.52,-63.8,450,Precipitation freq,11.6,11.1,11.7,10.5,5.9,3.6,2.2,1.7,2.4,5.1,9,11.4
Jujuy Aero,NOA,-24.24,-65.27,1239,Temperature,23.6,22.5,21.4,18.3,14.8,12.2,11.9,15,17.8,21.7,23,23.8
Jujuy Aero,NOA,-24.24,-65.27,1239,Max Temperature,30,28.8,27.2,24,21.3,19.7,20.3,23.3,25.7,29,29.9,30.5
Jujuy Aero,NOA,-24.24,-65.27,1239,Min Temperature,18.3,17.5,17.1,14,10,6.8,5.8,8.2,10.6,14.8,16.7,18
Jujuy Aero,NOA,-24.24,-65.27,1239,Hunidity,74.4,77.7,82,82.4,79.7,76.7,68,58.7,52.3,56,62,68.8
Jujuy Aero,NOA,-24.24,-65.27,1239,Wind speed,8.2,8.3,7.3,7.1,7.4,7.3,9.2,10.3,11,10.7,10.2,8.9
Jujuy Aero,NOA,-24.24,-65.27,1239,Nubosidad total (octavos),5.3,5.2,5.4,5.3,4.7,4.1,3.2,3.1,3.4,4.1,4.5,5
Jujuy Aero,NOA,-24.24,-65.27,1239,Precipitation ,153.2,152.9,138.9,49.4,11.6,2.8,3.4,3.1,5.4,28.1,61.1,130.4
Jujuy Aero,NOA,-24.24,-65.27,1239,Precipitation freq,13.4,12.5,14.1,8.7,3.9,2,2.3,1.6,1.9,4.8,7.8,11.6
Salta Aero,NOA,-24.85,-65.48,1238,Temperature,21.4,20.3,19.5,16.6,13.1,10.6,10.1,12.7,15.1,19.1,20.5,21.5
Salta Aero,NOA,-24.85,-65.48,1238,Max Temperature,27.4,26.4,25.2,22.7,20.3,19.6,20,22.3,23.9,26.8,27.5,28
Salta Aero,NOA,-24.85,-65.48,1238,Min Temperature,16.6,15.7,15.3,11.9,7.6,4.1,2.9,4.9,7.3,11.8,14.1,15.9
Salta Aero,NOA,-24.85,-65.48,1238,Hunidity,78.2,81,83.7,82.9,80.5,75.5,69.1,62.8,58.2,61.2,67.1,73.1
Salta Aero,NOA,-24.85,-65.48,1238,Wind speed,6.8,6.5,5.8,5.8,6.3,6.1,6.9,7.5,7.9,9,8.7,7.7
Salta Aero,NOA,-24.85,-65.48,1238,Nubosidad total (octavos),5.9,5.8,5.9,5.6,5,4.2,3.3,3.2,3.5,4.4,5,5.5
Salta Aero,NOA,-24.85,-65.48,1238,Precipitation ,192.6,154.2,110.6,33,8,1.5,3.9,3.8,7.6,25.1,62.2,145.6
Salta Aero,NOA,-24.85,-65.48,1238,Precipitation freq,16.3,14.8,14.2,7.9,3.9,1.6,2.1,2.1,2.7,5.7,9.5,14
Las Lomitas,NEA,-24.71,-60.58,130,Temperature,27.9,26.8,25.8,22.5,18.8,16.9,16.6,19.1,21.2,24.6,25.9,27.3
Las Lomitas,NEA,-24.71,-60.58,130,Max Temperature,35.1,33.8,32.8,28.8,25.4,23.4,24.1,27.1,29.1,32.2,33.2,34.4
Las Lomitas,NEA,-24.71,-60.58,130,Min Temperature,21.7,21.1,20.3,17.5,13.7,11.8,10.4,12.2,14.2,17.8,19.3,20.9
Las Lomitas,NEA,-24.71,-60.58,130,Hunidity,69.3,72.2,75.2,79.4,79.9,79.3,71.3,62.8,60.5,62.7,65.9,68.2
Las Lomitas,NEA,-24.71,-60.58,130,Wind speed,5.4,7,6,5.9,5.8,5.3,6.9,8.6,8.7,9.4,9.9,8.2
Las Lomitas,NEA,-24.71,-60.58,130,Nubosidad total (octavos),4,3.9,3.5,4.2,4.1,4.4,3.5,3.1,3.5,3.7,3.7,3.8
Las Lomitas,NEA,-24.71,-60.58,130,Precipitation ,142.4,116.7,160.4,84.6,57.5,18.6,13.1,16.1,30.4,72.5,119,132.6
Las Lomitas,NEA,-24.71,-60.58,130,Precipitation freq,8.8,9.2,9.9,9.3,7.1,6,3.9,2.9,4.4,7.3,8.7,8.8
Iguazu Aero,NEA,-25.74,-54.47,270,Temperature,25.6,24.9,24.2,21.4,17.6,15.9,15.7,17.6,19.1,21.9,23.5,25
Iguazu Aero,NEA,-25.74,-54.47,270,Max Temperature,31.8,31.2,30.7,27.5,23.5,21.7,22.2,24.7,25.8,28.3,30.1,31.4
Iguazu Aero,NEA,-25.74,-54.47,270,Min Temperature,20.5,20.2,19.3,16.8,13.1,11.7,10.8,12.2,13.7,16.5,17.8,19.5
Iguazu Aero,NEA,-25.74,-54.47,270,Hunidity,78.1,80.4,79.7,83.7,86.5,88.1,83.6,78.5,76.4,77.3,74.9,75.7
Iguazu Aero,NEA,-25.74,-54.47,270,Wind speed,6.4,6.3,5.3,6.1,6.4,6.2,7.4,8.4,8.8,7.4,7.5,6.6
Iguazu Aero,NEA,-25.74,-54.47,270,Nubosidad total (octavos),4.2,4.3,3.6,3.7,3.6,4,3.4,3.5,4,4.1,3.7,3.9
